,OC GP mean,sampling_decisions,recommended_val_GP,optimum
95,6.167688081483191,0.0,6.167688081483191,6.174274328866347
96,6.1676885539393576,0.0,6.1676885539393576,6.174274328866347
97,6.167675579172371,0.0,6.167675579172371,6.174274328866347
98,6.167676516218106,0.0,6.167676516218106,6.174274328866347
99,6.167656921537385,0.0,6.167656921537385,6.174274328866347
100,6.167683762248639,0.0,6.167683762248639,6.174274328866347
101,6.167654543283131,0.0,6.167654543283131,6.174274328866347
102,6.167661582266025,0.0,6.167661582266025,6.174274328866347
103,6.167650042463549,0.0,6.167650042463549,6.174274328866347
104,6.167643320546821,0.0,6.167643320546821,6.174274328866347
105,6.167659798469865,0.0,6.167659798469865,6.174274328866347
106,6.1676552490138725,0.0,6.1676552490138725,6.174274328866347
107,6.1676283795846745,0.0,6.1676283795846745,6.174274328866347
